From/To	Kuwaiti Dinar	Bahraini Dinar	Omani Rial	British Pound	Euro	Swiss Franc	Canadian Dollar	Bruneian Dollar	Singapore Dollar	Libyan Dinar	Australian Dollar	New Zealand Dollar	Bulgarian Lev	Israeli Shekel	Qatari Riyal	Emirati Dirham	Saudi Arabian Riyal	Polish Zloty	Romanian New Leu	Malaysian Ringgit	Brazilian Real	Danish Krone	Croatian Kuna	Trinidadian Dollar	Turkish Lira	Chinese Yuan Renminbi	Hong Kong Dollar	Swedish Krona	Norwegian Krone	Venezuelan Bolivar	Botswana Pula	South African Rand	Mexican Peso	Czech Koruna	Taiwan New Dollar	Thai Baht	Mauritian Rupee	Philippine Peso	Russian Ruble	Argentine Peso	Indian Rupee	Japanese Yen	Nepalese Rupee	Icelandic Krona	Pakistani Rupee	Sri Lankan Rupee	Hungarian Forint	Kazakhstani Tenge	Chilean Peso	South Korean Won	Colombian Peso	Indonesian Rupiah	Iranian Rial	USD
Brazilian Real	0.060156938	0.073569838	0.075161612	0.154043587	0.167782816	0.181849202	0.261029719	0.270773315	0.270740085	0.269759233	0.269144556	0.29100049	0.330770622	0.668645072	0.702429454	0.711699188	0.733790206	0.736483165	0.817394139	0.81916834	1	1.252887575	1.251599569	1.301693707	1.329687822	1.357540037	1.516795872	1.724010887	1.769162205	1.939087037	2.261124601	3.173215394	4.296282677	4.426242625	5.670960624	6.141102725	7.715350822	9.585843938	13.87495108	13.94856174	14.57521706	20.79093314	23.0516161	26.28506582	32.39697006	36.38773855	58.56163802	79.83983402	147.8480442	232.3044583	707.2952559	2827.909639	39714.1263	0.195363404
Danish Krone	0.046823296	0.058298948	0.059673809	0.121145156	0.132166704	0.142725042	0.208492987	0.215158742	0.211877583	0.215820135	0.215486679	0.229769966	0.259009682	0.52372402	0.565820737	0.56383479	0.575929949	0.583870211	0.637510201	0.660408333	0.790256385	1	0.999694871	1.045687328	1.056124423	1.076662263	1.183392269	1.363098325	1.398024579	1.535119813	1.775213664	2.540714592	3.428200193	3.533240621	4.531492881	4.861271262	6.223819066	7.633102394	10.85487311	11.08523482	11.58477038	16.6274285	18.2952481	20.99796295	25.77658383	28.55464285	46.23014871	63.97135815	119.531077	186.0027058	560.332396	2265.302353	31423.3617	0.151874743
Croatian Kuna	0.046594738	0.057766294	0.058888843	0.118696161	0.13261715	0.142969218	0.204805405	0.210337781	0.211870133	0.210964806	0.212468692	0.227980272	0.258739138	0.524124277	0.556688454	0.564570324	0.567809112	0.576323436	0.630520133	0.650706048	0.782226952	0.980483111	1	1.026975473	1.044994732	1.056327472	1.176598155	1.343906402	1.392927696	1.533055057	1.746590687	2.52415279	3.360101683	3.487170972	4.468554908	4.856858319	6.145847706	7.558199642	10.8440474	11.03300498	11.34372434	16.22222638	18.22894398	20.87271594	25.69049382	28.33031932	46.16120543	62.9892255	117.4792552	180.8549097	552.7340372	2233.005902	30939.18667	0.152848986
Trinidadian Dollar	0.045189505	0.054589729	0.056343128	0.11530441	0.125967643	0.136288549	0.195821575	0.20178657	0.201617565	0.205548403	0.20574264	0.218299523	0.247099292	0.496888966	0.535666481	0.535336268	0.550918723	0.558688977	0.614119819	0.62043294	0.741826924	0.941392315	0.957769037	1	0.999869462	1.034214495	1.130003438	1.285080964	1.32870156	1.45212751	1.706687612	2.412721103	3.280777832	3.345797147	4.278454522	4.590877386	5.895392791	7.240520296	10.33130325	10.52297824	11.01866668	15.76918254	17.72354734	19.9485002	24.46241943	27.38601511	43.75206292	60.08693648	112.9461549	175.3730043	525.5081813	2123.834195	29959.2239	0.145305077
Turkish Lira	0.044518344	0.053975397	0.055516575	0.113320993	0.125778109	0.134709135	0.194173647	0.199350181	0.201403116	0.200452473	0.20138768	0.218919174	0.245951056	0.494502153	0.529590601	0.534798603	0.537910979	0.549498197	0.600043057	0.617619461	0.738683695	0.921349984	0.945479727	0.971141257	1	1.001928537	1.128864024	1.277993198	1.316136956	1.433433848	1.679428628	2.355825351	3.203111499	3.271740449	4.224733155	4.533284813	5.835832537	7.125830073	10.23201497	10.3907224	10.7393815	15.42339058	17.46737378	19.85719398	24.29320641	26.65447032	43.8394714	59.99232539	111.4936787	174.4477398	525.2347337	2098.697514	29415.138	0.143370368
Chinese Yuan Renminbi	0.04302754	0.052734432	0.054379062	0.110237593	0.121861398	0.131288763	0.191200816	0.196174939	0.195274329	0.198620155	0.196617658	0.213109741	0.239539557	0.479717554	0.513735034	0.515818657	0.529707936	0.535356887	0.586344955	0.598754483	0.725606949	0.916020279	0.918125349	0.952187472	0.975919862	1	1.088992903	1.251566121	1.287575071	1.404609801	1.629694037	2.322945686	3.159709862	3.246262374	4.130264313	4.485853618	5.68842382	6.95126798	10.030471	10.11513009	10.47875146	15.1027629	17.04945068	19.1628167	23.9619968	26.13306225	42.82683039	58.04827693	109.2204495	168.510764	512.345956	2072.619835	28765.23413	0.141128104
Hong Kong Dollar	0.039208035	0.04838813	0.049456149	0.100771131	0.111010681	0.117632657	0.172540888	0.175642183	0.176709439	0.176480776	0.180305014	0.189753777	0.215299791	0.436785756	0.467342228	0.47001029	0.479883618	0.490036366	0.538661213	0.540301647	0.650008901	0.820014392	0.823306323	0.860213841	0.87821495	0.900080615	1	1.136564012	1.165273914	1.284844897	1.474191607	2.114557121	2.835843383	2.902511447	3.752345389	4.066025286	5.10312381	6.242460915	9.138933984	9.179393326	9.492894753	13.73592553	15.27705927	17.55327368	21.54849403	23.50545339	38.31364098	53.13081747	97.97971793	152.9106452	467.5095983	1882.179333	26070.97707	0.125851576
Swedish Krona	0.034488704	0.042135517	0.042819632	0.088218129	0.095700414	0.102936339	0.149928453	0.154552768	0.15421167	0.156214374	0.157710602	0.167418964	0.187305141	0.37925826	0.405963656	0.414149091	0.417539586	0.426603871	0.467712701	0.471562014	0.571566705	0.722316138	0.722493341	0.752747505	0.764979833	0.784936512	0.869462404	1	1.017740758	1.106059028	1.300538195	1.829975112	2.483696297	2.536600139	3.293964909	3.562577559	4.448307387	5.553394893	8.004614964	7.945258347	8.385318709	11.99046862	13.2646912	15.30948424	18.61469644	20.70487119	33.39684411	46.24559863	85.5923553	133.1073703	401.5675152	1643.401067	22505.91386	0.108951974
Norwegian Krone	0.033036147	0.040894535	0.041625383	0.086032509	0.094200487	0.101403665	0.145379223	0.149154202	0.151446981	0.152187278	0.151009742	0.161540487	0.18266285	0.371552776	0.393638887	0.399615225	0.406351113	0.415331968	0.452647258	0.465318376	0.553903779	0.698488906	0.702781735	0.732752665	0.741527866	0.75891341	0.848634982	0.95101751	1	1.081785571	1.259635214	1.784193696	2.42313926	2.485898705	3.201889126	3.42432767	4.359343773	5.359881476	7.696121462	7.805846141	8.066002757	11.54299333	12.89299748	14.78400595	18.23784067	20.0736856	32.58167474	44.79008924	83.78970181	129.7071994	393.3911704	1574.853963	22133.33991	0.104700277
Venezuelan Bolivar	0.030224291	0.037602153	0.038069337	0.07850609	0.086118214	0.091673096	0.132191388	0.138346167	0.136549672	0.138351898	0.13773069	0.148604828	0.168711427	0.338663229	0.360352796	0.363957153	0.369933597	0.380564979	0.417009581	0.417117366	0.504287399	0.635985331	0.639427736	0.676366351	0.673412014	0.700575539	0.773253444	0.872838049	0.898942468	1	1.136010251	1.63502539	2.212614653	2.238934526	2.897557302	3.129675398	3.98909415	4.916514623	7.094599244	7.096816401	7.319805559	10.5464712	11.91642841	13.51052512	16.78840727	18.39065158	29.61458943	40.79863438	75.59306998	118.0370479	357.0388239	1447.442131	20113.06316	0.098823186
